;0;33333;66666;99999;133332;166665;199998;233331;266664;299997;333330;366663;399996;433329;466662;499995;533328;566661;599994;633327;666660;699993;733326;766659;799992;833325;866658;899991;933324;966657;999990
add;0;63;124;189;269;348;431;517;602;686;749;827;899;977;1053;1131;1195;1263;1340;1408;1483;1560;1634;1709;1782;1861;1937;2036;2130;2204;2279
depth;0;35;42;44;44;44;44;44;44;44;45;45;45;45;45;46;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
